Iteration,Rank,CNB_alpha,ElasticNet_alpha,ElasticNet_l1_ratio,FeatPreProcess,Featsel_Variance,FeatureScaling,Imputation,ImputationMethod,ImputationNeighbours,LDA_shrinkage,LDA_solver,LRC,LRpenalty,PCAType,QDA_reg_param,RFmax_depth,RFmin_samples_split,RFn_estimators,ReliefDistanceP,ReliefNN,ReliefNumFeatures,ReliefSampleSize,ReliefUse,Resampling_Method,Resampling_Use,Resampling_k_neighbors,Resampling_n_cores,Resampling_n_neighbors,Resampling_sampling_strategy,Resampling_threshold_cleaning,SGD_alpha,SGD_l1_ratio,SGD_loss,SGD_penalty,SVMC,SVMKernel,SVMcoef0,SVMdegree,SVMgamma,SelectFromModel,SelectGroups,StatisticalTestMetric,StatisticalTestThreshold,StatisticalTestUse,UsePCA,classifiers,coliage_features,fractal_features,histogram_features,location_features,log_features,max_iter,orientation_features,original_features,patient_features,phase_features,random_seed,rgrd_features,semantic_features,shape_features,texture_gabor_features,texture_glcm_features,texture_glcmms_features,texture_gldm_features,texture_gldzm_features,texture_glrlm_features,texture_glszm_features,texture_lbp_features,texture_ngldm_features,texture_ngtdm_features,toolbox,vessel_features,wavelet_features,Number
1,11,0.6032305005795094,0.004326568972386838,0.41674343897266675,False,True,robust_z_score,True,mean,7,1.6394412674036456e-05,lsqr,0.5176363459992948,l2,95variance,0.005158035529510866,6,4,29,2,4,19,0.7916510643599837,True,RandomUnderSampling,True,12,1,9,auto,0.5155544540748694,0.0006309376095563656,0.4621294680717145,squared_hinge,l2,9377.496154487664,linear,0.9234596312785858,5.371920652452745,0.006308507207127022,False,True,MannWhitneyU,0.0026373361237146844,False,False,SVM,False,True,False,True,False,100000,False,True,False,True,757648916,True,False,False,False,True,False,True,False,False,False,True,True,False,All,True,False,1280
1,12,0.13998306102412528,0.08745155439968792,0.11755372449086088,False,True,robust_z_score,True,constant,5,0.4101544750030529,lsqr,0.8313635725689285,l2,50,0.06486253470622655,5,2,10,3,3,42,0.8212560043527674,False,RandomUnderSampling,False,15,1,5,not majority,0.7375737167250791,0.00027923513015020216,0.18353856827428394,modified_huber,l1,2620.3281035816544,rbf,0.20590118778568323,3.360009052388511,0.009970444386798276,False,True,MannWhitneyU,0.010818834138481406,False,False,LR,False,True,False,True,True,100000,True,True,False,True,502441334,False,False,False,True,False,False,True,True,False,True,False,True,False,All,False,True,10630
1,13,0.8148819412890365,3.524151540957126e-05,0.0480330033813694,False,True,robust_z_score,True,constant,9,0.13877809111755554,svd,0.648936497765055,l2,50,0.04553088065992351,9,2,17,2,2,20,0.9975709446895943,False,SMOTE,True,13,1,5,not majority,0.5872119165739551,0.16474361246839933,0.17915609059712345,squared_hinge,l2,6.724428110774375,poly,0.6512548676706926,1.4304696397802656,0.0006356916318748794,False,True,MannWhitneyU,0.0036847502513243126,False,False,LDA,False,True,False,False,False,100000,False,True,False,True,2882724820,True,False,True,True,True,False,True,True,True,False,False,True,True,PREDICT,False,False,9640
1,14,0.7297328007631163,0.0005900475328291675,0.13728610474685476,False,True,robust_z_score,True,most_frequent,6,0.008362171081835235,lsqr,0.9224387236195299,l2,50,0.11036908034130152,9,2,66,2,5,10,0.7644274243062983,False,SMOTEENN,False,11,1,12,majority,0.4018664477075631,7.665675261346065e-05,0.4851883097376364,squared_hinge,l2,159.26414132164436,rbf,0.16905146186917652,6.572689700823068,0.020382618619339172,False,True,MannWhitneyU,0.002711552465020272,False,False,LR,False,False,False,False,False,100000,True,True,False,True,3546330361,False,False,True,False,False,False,True,False,False,False,False,False,True,PREDICT,False,True,6520
1,15,0.8198470217823157,0.08635902061933681,0.8373204968817556,False,True,robust_z_score,True,most_frequent,9,0.0004128752639157491,svd,0.7455369682424292,l2,10,0.03235307486409242,9,2,85,3,2,17,0.8653981193386675,False,BorderlineSMOTE,False,13,1,8,not majority,0.4871759247873653,0.5830870859699119,0.7677484110790861,hinge,none,272.0640701574302,linear,0.679083643577934,6.706723759683207,0.006728496948923095,False,True,MannWhitneyU,0.005330190782638027,False,False,SVM,False,False,True,False,False,100000,True,True,False,False,3701581602,False,False,True,False,True,False,False,False,False,False,True,False,False,All,True,False,6685
1,16,0.8386899866656191,0.0015310779776039785,0.9556942297840997,False,True,robust_z_score,True,most_frequent,5,0.0033808600035663537,eigen,0.2226361200334055,l2,10,2.349091816975302e-05,7,2,17,2,5,57,0.9587539081952976,False,SMOTEENN,False,6,1,5,majority,0.6608332487989124,0.009078403554733265,0.5731303974685359,squared_hinge,l1,77.38479149589946,poly,0.0770273202918168,4.722296475989435,0.004627674360972342,False,True,MannWhitneyU,0.0014513377891571127,False,True,SVM,False,True,False,False,True,100000,False,True,False,False,1305431192,False,False,True,True,False,True,False,False,True,True,False,False,True,PyRadiomics,True,False,24685
1,17,0.101902688555635,0.9230937793429305,0.6683349542338439,False,True,robust_z_score,True,knn,9,0.000813201459179233,svd,0.8234897125400874,l2,95variance,0.6878470912563598,6,2,95,2,3,23,0.91230444120771,True,NeighbourhoodCleaningRule,False,8,1,13,majority,0.352552354299591,0.0006364305584764728,0.435912835850224,squared_hinge,l2,5.894375301280475,linear,0.32723847833772146,5.609827961321231,0.00026805698769240575,False,True,MannWhitneyU,0.017418289404283062,False,False,LDA,False,True,False,True,True,100000,False,True,False,True,1168688760,False,False,True,False,True,False,False,False,False,True,True,False,True,PREDICT,True,False,5460
1,18,0.661123986503071,0.00021689229843281098,0.4977809911784842,False,True,robust_z_score,True,knn,8,0.056064376011407714,svd,0.7381157130620883,l2,50,0.3211728066689943,7,2,34,1,5,18,0.8699441610679328,False,NeighbourhoodCleaningRule,False,5,1,4,all,0.5026270767089314,0.01265401546124544,0.576861328208221,squared_hinge,none,2.699523812969743,poly,0.7675949157185917,2.2193542182010315,0.01879708130898742,False,True,MannWhitneyU,0.0836232622004263,True,False,QDA,False,True,True,False,True,100000,False,True,False,False,2962430666,False,False,False,True,False,True,False,False,False,False,True,True,True,PREDICT,True,False,18295
1,19,0.4578046146464957,0.3114116807426479,0.709955918235555,False,True,robust_z_score,True,most_frequent,8,8.799333501820806e-05,svd,0.5859252142692017,l2,10,2.4987747148524896e-05,6,3,52,3,4,32,0.8511897118695924,False,ADASYN,False,16,1,3,all,0.49279657085787293,0.0702945360978454,0.3830444572349335,modified_huber,l1,20.09870762569228,poly,0.7574850020362262,5.8075196370341216,0.02644254827615017,False,True,MannWhitneyU,0.054745053223542575,False,True,LR,False,False,False,True,True,100000,True,True,False,True,787787074,False,False,False,False,False,False,False,False,False,True,False,True,True,PyRadiomics,True,False,21675
1,20,0.1136192349175944,0.5959195741003024,0.8561490938079269,False,True,robust_z_score,True,knn,5,0.001028599392753755,lsqr,0.6312809114542162,l2,95variance,0.0007445607577542116,9,4,20,2,4,21,0.8114894562675625,False,BorderlineSMOTE,False,19,1,9,all,0.48159773074136736,0.04584954881641647,0.9175317393515964,hinge,l1,375707.9724740079,linear,0.21731063014879393,6.516207378317697,0.027115943280222744,False,True,MannWhitneyU,0.16869151306398786,False,False,SVM,False,False,False,True,False,100000,False,True,False,False,2989466677,False,False,True,False,False,False,True,True,False,False,True,False,True,All,False,True,11950
