Iteration,Rank,CNB_alpha,ElasticNet_alpha,ElasticNet_l1_ratio,ImputationMethod,ImputationNeighbours,LDA_shrinkage,LDA_solver,LRC,LR_l1_ratio,LR_solver,PCAType,QDA_reg_param,RFmax_depth,RFmin_samples_split,RFn_estimators,ReliefDistanceP,ReliefNN,ReliefNumFeatures,ReliefSampleSize,Resampling_Method,Resampling_k_neighbors,Resampling_n_neighbors,Resampling_sampling_strategy,Resampling_threshold_cleaning,SGD_alpha,SGD_l1_ratio,SGD_loss,SGD_penalty,SVMC,SVMKernel,SVMcoef0,SVMdegree,SVMgamma,StatisticalTestThreshold,random_seed,Number
1,1,0.7690835386478038,0.3951399963390421,0.9401532756693534,knn,7,0.38997171649754336,svd,0.18351170693680963,0.5313416860690141,saga,50,0.04365459574491332,6,2,77,1,3,57,0.8174796147528379,NearMiss,13,8,auto,0.31565764835915305,0.015972659998589444,0.09449728860017836,modified_huber,none,1.6708747369147474,linear,0.4564888065380389,3.2460412161868466,0.06949535110455572,0.01616374971067712,620792149,1455
1,2,0.37084702063072195,1.6135702943304887e-05,0.37880277411578633,knn,8,0.09868409326441471,eigen,0.787872091565046,0.33707624243312784,lbfgs,50,0.046606789308242136,5,3,24,3,4,38,0.873719805292444,NearMiss,8,8,not majority,0.6359654014700924,0.0002061843906595321,0.9406479947194317,modified_huber,l1,37.92164890121751,rbf,0.4922659342035537,2.0016738499244484,0.027309614591069953,0.012662128835263688,2867690544,1620
1,3,0.8471770836935022,0.0031044762588031487,0.011113888478265554,constant,8,0.28298966689669436,eigen,0.7940252899958501,0.12529028939897224,saga,10,0.002427778734529395,7,3,74,1,5,34,0.783492058741126,BorderlineSMOTE,19,5,auto,0.4937719092391605,0.011990502732719868,0.6443839911469472,modified_huber,none,740012.3445445322,rbf,0.8385785422080305,1.1797072265698927,0.008144609321611835,0.0014414797219503743,1241368761,1980
1,4,0.7598386773696321,0.00045993402136499013,0.7688611861658219,mean,5,1.4658790275550638e-05,eigen,0.7727940308736834,0.14504415743585286,saga,100,0.07784659856912857,6,2,31,3,3,52,0.897943896178555,SMOTETomek,17,10,all,0.5195493465797523,0.0015951081690792751,0.038921466090616974,squared_hinge,l2,4.472955201207165,rbf,0.16012937690158813,3.0814708289602457,0.0009081872410408843,0.005550572099024385,1942633023,850
1,5,0.8507627824976242,0.008910532192996548,0.56938820420533,median,9,0.001771574071005731,svd,0.21820317424708946,0.2935745246969471,saga,50,1.2521824379376521e-05,5,3,53,2,5,37,0.9494947598116683,RandomOverSampling,9,7,majority,0.677030763272078,0.0017835717033015583,0.18507365713872703,hinge,l2,7.583424051376169,poly,0.7750490256299732,4.985169526397928,0.03493497190506457,0.29282268239400255,513642605,870
1,6,0.06360420073837869,0.001207501318237429,0.19763175490385243,mean,7,0.00018241263722981824,svd,0.4245260747908679,0.1838809517641209,lbfgs,10,0.1628183731131998,7,4,96,1,4,59,0.7664865378387042,SMOTEENN,15,13,auto,0.48014549585245325,0.0005460538974358559,0.702681024449068,modified_huber,none,1.1617309892132952,poly,0.27529321586626876,4.2472616584631435,0.00012252836222601714,0.0015650117208492738,3123707433,895
1,7,0.6239034026511914,8.57948516179081e-05,0.23626026388357657,constant,7,0.6567521951091245,svd,0.9757276955114972,0.04329341586541646,saga,10,0.05472738040003003,7,3,23,1,4,47,0.8459783915518038,ADASYN,5,9,not majority,0.35214540717547077,0.01710211637917191,0.1340074226820227,hinge,none,17682.966561691785,rbf,0.4925065655157399,6.602735963305495,0.05921850288424776,0.015533329230144603,2779760174,925
1,8,0.15672635458443207,0.0005627828494276962,0.8024610539002417,mean,9,4.468699602182854e-05,lsqr,0.694769498073805,0.5203137111258317,saga,100,2.102749600992416e-05,6,3,23,3,5,34,0.9529535339977243,ADASYN,16,7,all,0.3499564615978953,3.6994043747168016e-05,0.2074240533934968,hinge,none,24.864696553497698,linear,0.28100909452369394,1.689043837506493,0.0030751000145325625,0.03290561395036668,3914552127,1230
1,9,0.5344918894846568,2.1076318709371285e-05,0.7289821236594476,knn,8,0.22932363840813916,eigen,0.11474282001596257,0.6112794170481554,lbfgs,95variance,0.0008838039273691546,6,2,78,3,5,16,0.8735716949446326,ADASYN,7,6,auto,0.586113473499981,8.176699923172242e-05,0.49854772307105355,modified_huber,l2,1358.8861582648458,poly,0.09448882145719928,1.5704400686199251,0.10180796066503675,0.19410026846916367,2315548704,1735
1,10,0.7715902723197158,0.0008417720487189419,0.1982735220771943,constant,6,5.1386074868725496e-05,lsqr,0.5973932780339846,0.2657053666075476,lbfgs,100,0.23181170314991661,8,3,55,1,5,43,0.9986584849058792,SMOTEENN,11,5,majority,0.3071527626540887,0.036800902038328455,0.33603525207503504,modified_huber,l2,5122.326779278046,rbf,0.8805004653211611,6.199439379062122,4.0486364607588037e-05,0.010132731335557334,3593873946,145
1,11,0.4532364822143823,0.0006364156012009912,0.669771255769629,most_frequent,6,0.049856292793402965,lsqr,0.6028731038268301,0.2246985059755534,saga,100,2.9148269218562373e-05,7,3,69,1,5,29,0.9808070720397357,BorderlineSMOTE,18,13,auto,0.6965254409891091,2.6786400260879163e-05,0.6827750848419873,hinge,none,24.69901336066944,linear,0.6158392145443153,1.1839370694335531,0.01623126889032479,0.06827660133090196,1926911058,1015
