Iteration,Rank,CNB_alpha,ElasticNet_alpha,ElasticNet_l1_ratio,ImputationMethod,ImputationNeighbours,LDA_shrinkage,LDA_solver,LRC,PCAType,QDA_reg_param,RFmax_depth,RFmin_samples_split,RFn_estimators,ReliefDistanceP,ReliefNN,ReliefNumFeatures,ReliefSampleSize,ReliefUse,Resampling_Method,Resampling_Use,Resampling_k_neighbors,Resampling_n_neighbors,Resampling_sampling_strategy,Resampling_threshold_cleaning,SGD_alpha,SGD_l1_ratio,SGD_loss,SGD_penalty,SVMC,SVMKernel,SVMcoef0,SVMdegree,SVMgamma,StatisticalTestThreshold,StatisticalTestUse,UsePCA,classifiers,fractal_features,histogram_features,location_features,log_features,orientation_features,phase_features,random_seed,rgrd_features,shape_features,texture_gabor_features,texture_glcm_features,texture_glcmms_features,texture_gldm_features,texture_gldzm_features,texture_glrlm_features,texture_glszm_features,texture_lbp_features,texture_ngldm_features,texture_ngtdm_features,toolbox,vessel_features,wavelet_features,Number
1,11,0.6985314095359542,0.02187735017806568,0.28048590420973585,most_frequent,7,0.7351480876197309,eigen,0.424696379231533,10,0.003563402426793004,6,2,31,1,2,13,0.7824989793537267,False,BorderlineSMOTE,False,11,3,auto,0.34779848167165806,0.0001820704273628617,0.06085296162694842,hinge,l1,1.1052635992381283,poly,0.9771935632672436,3.651512173782028,0.6041582295876451,0.052209377328899624,False,False,GaussianNB,False,True,False,False,False,True,830519030,True,False,False,False,True,True,False,False,True,True,False,False,PREDICT,False,True,12625
1,12,0.45383449106780027,0.5786358715712089,0.5692393064662679,most_frequent,7,0.14407300802379294,eigen,0.7817367326854222,95variance,1.0899570868146457e-05,6,3,96,1,4,47,0.8818815908516546,False,RandomOverSampling,False,11,11,majority,0.4333812620445824,0.030211741910421388,0.7823950676158283,modified_huber,l2,113817.8405068309,rbf,0.9968937740454965,1.8955428255720113,0.001482502296697257,0.003565097769894267,False,True,LDA,False,False,True,True,True,False,2343647851,False,True,True,True,True,True,False,True,False,False,True,False,PREDICT,False,True,22930
1,13,0.11154801286326765,0.0038333931433622865,0.5636275518695986,most_frequent,5,0.0005785124716356791,lsqr,0.24867642183672123,10,2.4999885607761986e-05,9,3,45,2,4,43,0.9415348609294744,True,RandomUnderSampling,False,9,14,not majority,0.42021275827881355,0.09235394988132428,0.98028454566347,hinge,none,104.00919994641144,poly,0.7810573815395622,3.1916057522138437,0.15843357197067523,0.2667272993033534,False,False,SVM,True,True,True,False,True,True,3762720735,True,True,False,True,True,False,True,False,True,True,False,False,PyRadiomics,True,True,20760
1,14,0.7827755187957545,0.002408894352101501,0.5082790663781218,knn,6,3.3360889389351506e-05,svd,0.49857912444989505,50,0.10929281684459749,7,3,65,3,3,56,0.9981932123346058,False,SMOTEENN,False,16,5,auto,0.6857725627492779,0.0007272860860287595,0.5584169622569252,hinge,l2,2.62974475600311,linear,0.6390727369216598,3.2510797456138345,0.7768319799965765,0.2587279032053429,False,True,RF,False,False,False,False,False,False,3369174335,False,False,False,False,True,False,True,True,True,False,True,False,All,True,False,11790
1,15,0.7512442824734185,0.015282870783948894,0.5361688007596882,most_frequent,6,3.3785665318271046e-05,eigen,0.16502648128728103,100,6.865771111231006e-05,7,2,36,1,4,28,0.7750059089810406,False,NeighbourhoodCleaningRule,False,9,12,not majority,0.6943384118388705,2.0205984838510877e-05,0.7326755779482166,hinge,l2,576.1782091871593,rbf,0.7099407325315545,2.1952977207031275,0.008639760704906716,0.0013057554458647705,False,False,SVM,False,False,True,False,False,False,1795548278,True,True,False,False,True,False,False,False,True,False,True,True,PyRadiomics,False,True,11210
1,16,0.033410521441837204,0.0011750758291758539,0.5436802166499856,knn,6,0.05042933227488638,eigen,0.42812066092228085,10,1.7835104228635425e-05,5,3,32,3,5,33,0.8661213945450947,False,SMOTE,False,13,3,not minority,0.25363812718126005,0.03022455852805276,0.7302196016642009,modified_huber,none,329044.4151955936,poly,0.4744328900603566,2.938610439701148,0.23607058739614847,0.0035063954356315936,False,False,SVM,True,True,False,True,True,True,1866271266,True,True,True,True,True,True,True,False,True,True,False,True,PyRadiomics,True,False,12825
1,17,0.8393416625554271,0.009003827271534526,0.9714548608410857,mean,6,0.002223348088800305,svd,0.26063033169935446,100,0.26292630078225304,7,3,49,2,3,40,0.956378570528103,False,NeighbourhoodCleaningRule,False,19,9,all,0.3180716019002969,0.013486014780266736,0.08768249839528341,hinge,l1,156.4795659873778,poly,0.26189721710250813,2.4332733625894813,0.0003154496916979343,0.0010101700939625033,False,False,LR,True,False,False,False,True,False,1311593080,False,True,True,False,True,True,True,False,False,True,True,True,PREDICT,False,False,15900
1,18,0.16062656128125552,7.148803615665634e-05,0.9663902639411672,mean,6,0.006607607766439092,eigen,0.21023608414068018,10,9.037229955104393e-05,6,3,16,1,4,39,0.9739705025848746,False,SMOTEENN,False,9,9,auto,0.7229417206148843,0.03819707164647977,0.3705527744143504,hinge,l2,748.5543454893301,poly,0.9970906793348302,5.792692944273734,5.3206428196468136e-05,0.0013415002727903108,False,True,GaussianNB,True,True,False,True,False,False,1995158253,True,True,False,True,False,True,True,True,False,True,False,False,PREDICT,False,False,540
1,19,0.3508516157711915,0.5865968124063117,0.4552357624529333,constant,9,0.0033073994675584047,lsqr,0.2260123346983992,10,0.1319039055488777,9,4,12,2,5,57,0.9519369224061551,False,ADASYN,False,17,12,all,0.44522375925401597,0.0013944064313965079,0.20556914216936684,modified_huber,none,280.6765668724042,poly,0.8372408948007608,6.896847295151564,0.07510282456853354,0.0011171313155450744,False,False,LR,False,False,True,True,False,False,754445553,True,True,False,True,True,True,False,True,True,False,False,False,PyRadiomics,False,False,8105
1,20,0.642305804128938,0.0186371500378383,0.2593899703676701,median,7,0.012363973033216777,svd,0.16018624841296203,95variance,0.614636866175817,5,3,65,3,5,58,0.8245500229003457,False,SMOTETomek,True,6,9,not majority,0.47248485801697676,0.1301635616864077,0.851184421110057,hinge,none,2164.2818887649937,rbf,0.6607148130718006,6.401655477374847,0.12641457942107157,0.06827841944592448,False,False,GaussianNB,True,False,False,False,True,True,1915732806,False,False,False,True,True,True,True,False,False,False,True,False,All,True,False,9995
