Iteration,Rank,CNB_alpha,ElasticNet_alpha,ElasticNet_l1_ratio,ImputationMethod,ImputationNeighbours,LDA_shrinkage,LDA_solver,LRC,PCAType,QDA_reg_param,RFmax_depth,RFmin_samples_split,RFn_estimators,ReliefDistanceP,ReliefNN,ReliefNumFeatures,ReliefSampleSize,ReliefUse,Resampling_Method,Resampling_Use,Resampling_k_neighbors,Resampling_n_neighbors,Resampling_sampling_strategy,Resampling_threshold_cleaning,SGD_alpha,SGD_l1_ratio,SGD_loss,SGD_penalty,SVMC,SVMKernel,SVMcoef0,SVMdegree,SVMgamma,StatisticalTestThreshold,StatisticalTestUse,UsePCA,classifiers,fractal_features,histogram_features,location_features,log_features,orientation_features,phase_features,random_seed,rgrd_features,shape_features,texture_gabor_features,texture_glcm_features,texture_glcmms_features,texture_gldm_features,texture_gldzm_features,texture_glrlm_features,texture_glszm_features,texture_lbp_features,texture_ngldm_features,texture_ngtdm_features,toolbox,vessel_features,wavelet_features,Number
1,1,0.5557716268525669,0.0010091359705461495,0.4926105159692342,median,6,0.004491055732379245,eigen,0.4851694378667216,100,0.2955313580386126,5,3,89,3,3,15,0.8280785373884665,False,NearMiss,True,13,11,not majority,0.3798665817590445,0.0005931589194653226,0.9234996402472344,hinge,l2,17.874339704478917,rbf,0.7612361618939996,4.460191566889674,0.0009510758207051674,0.0033198029706953134,False,True,QDA,False,False,True,True,True,False,4048872891,False,True,True,False,False,True,True,False,False,False,True,False,PyRadiomics,True,True,22860
1,2,0.11948407011983642,0.00013134409039021027,0.9288081694300921,mean,7,8.849076618997571e-05,lsqr,0.08179310402348537,100,0.880569849545466,8,2,56,3,2,16,0.8452895179663799,False,RandomUnderSampling,False,15,10,not minority,0.6422503411046296,0.02840374368061376,0.467255938649602,squared_hinge,l1,2929.194709215867,rbf,0.17602129663500798,5.233599261634178,0.002352529787171306,0.003893906102900553,False,False,SVM,True,True,True,False,True,False,2883336907,True,True,False,False,True,False,True,True,False,True,True,False,PREDICT,True,False,5465
1,3,0.7383740602230963,0.00030107174074592275,0.8135986280072471,knn,7,3.279206922199937e-05,lsqr,0.11919821524692507,10,0.043749020103017365,9,3,68,2,4,50,0.9714949978247744,False,NeighbourhoodCleaningRule,False,8,9,not majority,0.4964332824756245,0.00011623471480494614,0.6544704041079562,hinge,l1,17932.282400706965,rbf,0.8646835943701621,4.077895274673056,0.015390207178698273,0.009077942430361677,False,True,SVM,False,True,True,False,False,True,449137500,False,True,True,True,True,False,False,True,False,False,False,True,PREDICT,False,False,4770
1,4,0.10164294403384777,0.16615062190379995,0.10751721970617889,most_frequent,9,0.06289340751098825,lsqr,0.5728476451284124,10,0.0002622925861737442,7,3,81,1,3,27,0.8800009239218713,True,NeighbourhoodCleaningRule,False,12,4,not majority,0.3970707755100649,3.3498257609514575e-05,0.4150420339762898,modified_huber,none,35249.45165954195,linear,0.977183658455216,3.7436026788101406,0.0013530294816359238,0.0032032206834378837,False,True,RF,True,True,False,True,True,False,2191377961,True,True,False,False,True,True,False,True,False,False,False,False,PREDICT,True,True,12000
1,5,0.08374775843445781,3.326845127648481e-05,0.6170251789181004,median,8,0.02214074964891549,lsqr,0.7897288867297871,50,0.00038434298463658323,8,2,47,2,4,10,0.9518140480316964,False,NeighbourhoodCleaningRule,False,13,14,not minority,0.33555960139771623,0.013965841715377838,0.6104651272918843,modified_huber,none,51999.915828267025,rbf,0.8724432027313664,3.852666182781181,9.747134621425094e-05,0.002139373570913135,False,False,SVM,False,True,False,True,True,True,613765248,True,False,True,True,False,True,False,False,True,False,False,False,PyRadiomics,False,False,23050
1,6,0.05946724654166913,0.06429474732814086,0.2926320698393948,knn,7,1.3208339328573249e-05,svd,0.06706025864651875,50,0.0005763573481879241,8,4,36,1,2,28,0.9910089790190065,False,ADASYN,True,15,10,not minority,0.6693605227143538,2.0356597809168483e-05,0.6329856482973416,modified_huber,l1,85995.82073812779,poly,0.15420416628162337,5.1447926780307185,3.0060350894771346e-05,0.3154731802709928,False,False,SVM,True,True,False,False,True,True,804159430,True,True,False,True,False,False,False,False,False,False,True,True,All,False,True,3390
1,7,0.48578556399193384,2.598543548996844e-05,0.8074646034470547,mean,8,0.16006767797519583,lsqr,0.30247936391560004,10,0.19352140514804084,6,3,69,2,5,57,0.7865387935550776,True,SMOTE,False,12,9,not minority,0.7175550591956839,0.011300353210887543,0.7338368997142551,modified_huber,l2,1420.823022106497,rbf,0.1372723557967409,4.165584358653871,1.3657603400029603e-05,0.01564340072985036,False,False,SVM,True,True,False,True,False,False,1325138900,False,False,False,False,True,False,True,False,False,False,False,True,All,False,False,15400
1,8,0.27151630999930276,0.0009541820142469887,0.193416192087557,constant,9,0.024161453471870258,svd,0.6973056409337143,95variance,0.029756888287608096,9,4,46,2,4,28,0.9279325164858784,False,NearMiss,False,11,12,all,0.5370347031401429,0.0039028300417175118,0.46129915069220495,modified_huber,none,941952.8782489018,rbf,0.28128823097693323,3.1649544281371647,0.0027514462124225234,0.20339482094508304,False,True,RF,True,False,True,False,True,False,3630360996,False,True,False,True,True,False,True,False,False,False,True,True,PREDICT,True,False,4120
1,9,0.6300857735630885,0.0004496549382346803,0.4146476491894445,mean,7,0.0013018483768665271,eigen,0.4660970048678117,10,4.5029769550851556e-05,7,3,31,3,4,31,0.9085162181809581,False,NearMiss,False,12,4,not minority,0.398510776921891,5.175197050958191e-05,0.3440067312680102,hinge,none,8.502473038570798,rbf,0.5977421302601643,4.620278951477673,0.06966449771072658,0.09467656848520262,True,False,LDA,False,False,False,False,False,True,1340471378,True,False,False,True,True,True,False,True,False,True,False,True,PREDICT,True,False,23275
1,10,0.10304445156453634,0.00838387156146531,0.6198723488495146,constant,9,0.04167986609976106,svd,0.3549429538555997,50,0.28688793112181027,6,3,31,1,3,11,0.9671296059973459,False,SMOTEENN,False,17,10,not majority,0.44572885929917216,0.0010710074818896089,0.6176170059629618,hinge,l2,2229.6742168438936,poly,0.894914608928404,6.9202803848541725,9.883982749087092e-05,0.007686311642708027,False,False,SVM,True,True,False,False,True,False,2791617450,True,False,True,True,False,False,True,False,True,False,False,True,All,False,False,6835
